Serial_Number,List_Year,Town,Address,Assessed_Value,Sale_Amount,Sales_Ratio,Property_Type,Residential_Type,Years_until_sold
19000104,2019,Cheshire,325 SANDBANK RD UB3,78680,145000,0.5426,Nan,Nan,0
190622,2019,Griswold,35 RUSSELL ST UNIT 30,47880,51700,0.9261,Condo,Condo,0
190534,2019,Groton,31 CHASE OAKS CT S24,72940,120000,0.6078,Condo,Condo,1
190360,2019,East Lyme,5 SPINNAKER DR,285460,432500,0.66,Condo,Condo,1
190457,2019,Hamden,2584 DIXWELL AVE,531370,1190000,0.4465,Nan,Nan,1
190943,2019,Danbury,2 JUDITH DR,294100,440000,0.6684,Condo,Condo,1
19729,2019,Hartford,271 WASHINGTON ST,245210,401670,0.6105,Nan,Nan,1
190979,2019,Bristol,888 FARMINGTON AVE,445060,670000,0.6643,Nan,Nan,1
190068,2019,Bethany,99 MESA DR,100140,105000,0.9537,Nan,Nan,1
190133,2019,Ellington,31 GRAND BLVD,174350,230000,0.758,Condo,Condo,1
190226,2019,Avon,10 EDGEWOOD,108780,144900,0.7507,Condo,Condo,1
190350,2019,Glastonbury,16 REDBUD LN,103200,182000,0.567,Condo,Condo,1
19365,2019,Hartford,1005 ALBANY AVE,109410,165000,0.6631,Nan,Nan,1
19176,2019,East Haddam,8 TOM RD,31500,48000,0.6563,Nan,Nan,1
190518,2019,Killingly,9 ORIOLE DR,145670,239000,0.6095,Condo,Condo,1
190053,2019,Kent,YUZA-MINI LA,147600,260000,0.5677,Nan,Nan,1
1900151,2019,East Haven,369 COE AVE #13,103120,129000,0.7994,Condo,Condo,1
190285,2019,Avon,30 GRAY PINE COMMON,143390,185000,0.7751,Condo,Condo,1
190089,2019,Hamden,75 WASHINGTON AVE4-104,46480,80000,0.581,Condo,Condo,0
190882,2019,Hamden,3565 WHITNEY AVE,273210,262500,1.0408,Nan,Nan,1
190074,2019,Bristol,MAPLE AVE LOT 19-1,48860,46000,1.0622,Nan,Nan,0
190900,2019,Hamden,175 MILL POND RD U451,48440,88000,0.5505,Condo,Condo,1
190438,2019,East Lyme,35 ROCCO DR,140630,130000,1.0818,Nan,Nan,1
19147,2019,Hartford,1 GOLD ST #0003,6300,25000,0.252,Condo,Condo,0
1900505,2019,East Haven,55 THOMPSON ST #8G,76440,135000,0.5662,Condo,Condo,1
19092,2019,Haddam,85 BRIDGE RD,473430,2089013,0.2266,Nan,Nan,1
190052,2019,Easton,17 TATETUCK TRAIL,187590,195000,0.962,Nan,Nan,1
190013,2019,Bethlehem,3 FLANDERS RD,647700,1050000,0.6169,Nan,Nan,1
190152,2019,Ledyard,170 GALLUP HILL RD,72660,77500,0.9375,Nan,Nan,1
190936,2019,Greenwich,29 MEADOWCROFT LANE,1470000,4900000,0.3,Nan,Nan,1
190989,2019,Bristol,24 KNIBBS CIRCLE,234360,300000,0.7812,Condo,Condo,1
190347,2019,Fairfield,41 DAWN STREET,187460,290000,0.6464,Condo,Condo,1
191049,2019,Greenwich,77 PARK AVENUE,777700,1815000,0.4285,Nan,Nan,1
19323,2019,Farmington,62 WELLINGTON DR,79470,131000,0.6066,Condo,Condo,1
190164,2019,Enfield,67 MIDDLE RD,65270,75000,0.8703,Nan,Nan,0
19167,2019,Derby,204 NEW HAVEN AVE UNIT 5H,82180,160000,0.5136,Condo,Condo,1
190836,2019,Bridgeport,860 HANCOCK AVE,59840,35000,1.7097,Nan,Nan,1
190061,2019,Brooklyn,339 SOUTH ST,22900,30000,0.7633,Nan,Nan,1
19000020,2019,Granby,39 CIDER MILL HEIGHTS,78330,140000,0.5595,Nan,Nan,0
19025,2019,Durham,496 POWDER HILL RD,79800,107500,0.7423,Nan,Nan,0
190554,2019,Enfield,GRANT RD,287050,250000,1.1482,Nan,Nan,1
19302,2019,Colchester,286 MCDONALD RD,44400,76000,0.5842,Nan,Nan,1
190037,2019,Harwinton,494 BURLINGTON RD,666160,952000,0.6997,Nan,Nan,1
19282,2019,Hartford,140 WESTON ST,1606010,2922199,0.5496,Nan,Nan,0
19000375,2019,Brookfield,27B IRONWORKS HILL RD,73070,100000,0.7307,Nan,Nan,1
190195,2019,Hamden,720 MIX AVE UA108,61040,80000,0.763,Condo,Condo,0
190010,2019,Litchfield,OLD FARM RD,63550,107500,0.5912,Nan,Nan,0
190658,2019,Manchester,165 & 169 MAIN STREET,365600,405000,0.9027,Nan,Nan,1
190122,2019,East Hampton,PINE BROOK RD,43420,66000,0.6579,Nan,Nan,1
190540,2019,Danbury,4 GINGHAM CT,316000,416494,0.7587,Condo,Condo,1
190447,2019,East Lyme,27 HOPE ST,451150,900000,0.5013,Nan,Nan,1
190014,2019,Essex,"35-41 INDUSTRIAL PARK RD, UNIT",605500,900000,0.6728,Nan,Nan,0
1900146,2019,East Haven,17 COMMERCE ST,617040,750000,0.8227,Nan,Nan,0
190178,2019,Ledyard,1881 ROUTE 12,127887,120000,1.0657,Nan,Nan,1
1900032,2019,East Haven,221 COMMERCE ST,2955050,6500000,0.4546,Nan,Nan,0
19526,2019,Hartford,36 BROOK ST,6510,11000,0.5918,Nan,Nan,1
190314,2019,Killingly,1001 HARTFORD PIKE,194110,255000,0.7612,Nan,Nan,1
190389,2019,New London,196 BROAD ST,182290,275000,0.6629,Nan,Nan,1
190056,2019,Prospect,162 SYCAMORE DR,220120,310000,0.7101,Condo,Condo,1
190870,2019,Meriden,3 COMTECH BUSINESS PARK,163380,250000,0.6535,Nan,Nan,1
190528,2019,Southington,157-21 BURRITT ST,154850,260000,0.5956,Condo,Condo,1
1900315,2019,Stamford,444 BEDFORD STREET # 3M,106410,100000,1.0641,Condo,Condo,0
191326,2019,Milford,695 WEST AVE,356250,440000,0.8097,Nan,Nan,1
190904,2019,New Haven,95 AUDUBON ST # 45,280070,347000,0.8071,Condo,Condo,1
190598,2019,New Haven,230 WOOSTER ST,294000,540000,0.5444,Nan,Nan,1
190224,2019,Shelton,185 CANAL ST,30208150,64750000,0.4665,Nan,Nan,1
190428,2019,Vernon,1158-46 HARTFORD TPKE,134790,195000,0.6912,Condo,Condo,1
190620,2019,Waterbury,BERKELEY AVE,10870,7300,1.489,Nan,Nan,1
19167,2019,North Haven,445 WASHINGTON AVE,903210,1575000,0.5735,Nan,Nan,1
191007,2019,New Haven,261 FERRY ST,106610,156600,0.6808,Nan,Nan,1
19580,2019,Ridgefield,1 LEMON LANE,177890,295000,0.603,Condo,Condo,1
190167,2019,Shelton,3 WOODLAND PARK,47740,55000,0.868,Condo,Condo,0
190420,2019,Newington,2897 BERLIN TPK,1480410,2557000,0.579,Nan,Nan,1
190255,2019,Milford,620 WEST AVE,296280,625000,0.474,Nan,Nan,0
190194,2019,Shelton,151 INDIAN WELL RD,98000,210000,0.4667,Condo,Condo,0
191054,2019,New Haven,33 ALLEN PL,298690,599900,0.4979,Nan,Nan,1
19462,2019,Ridgefield,3 FOREST LANE,173900,228000,0.7627,Condo,Condo,1
190178,2019,Meriden,210 CENTER ST,224280,276500,0.8111,Nan,Nan,0
190628,2019,Shelton,27 UNITED PL,301420,475000,0.6346,Condo,Condo,1
19025,2019,Monroe,9 KENSINGTON RD,181000,265000,0.683,Condo,Condo,0
190211,2019,Wallingford,50 PUTTER DR,119600,150000,0.7973,Condo,Condo,1
190100,2019,Suffield,SUFFIELD ST,14280,45000,0.3173,Nan,Nan,1
19332,2019,Monroe,50 SENIOR DR,73900,95000,0.7779,Condo,Condo,1
190958,2019,New Haven,360 FOUNTAIN ST # 4,81970,140000,0.5855,Condo,Condo,1
191049,2019,New Haven,291 HUMPHREY ST # 5,226380,339000,0.6678,Condo,Condo,1
190354,2019,New Haven,44 TRUMBULL ST,298550,450000,0.6634,Nan,Nan,1
190110,2019,New Haven,854 QUINNIPIAC AV # 8,139720,300000,0.4657,Condo,Condo,0
190048,2019,Suffield,7 OXFORD DR,161350,229900,0.7018,Condo,Condo,0
190165,2019,Rocky Hill,301 THE MEWS,127540,228000,0.5594,Condo,Condo,1
190276,2019,Wallingford,176 NORTH PLAINS IND RD,80600,170000,0.4741,Nan,Nan,1
190469,2019,Shelton,55 HEATHER RIDGE,99190,180000,0.5511,Condo,Condo,1
190671,2019,Wallingford,139 STAFFORDSHIRE,101300,175000,0.5789,Condo,Condo,1
191035,2019,Milford,40 EDGEWATER PL,105000,150000,0.7,Nan,Nan,1
190795,2019,New Britain,50-11 LONG ST,41720,62250,0.6702,Condo,Condo,1
190235,2019,Vernon,40 WEST ST,659090,743750,0.8862,Nan,Nan,1
190015,2019,South Windsor,4 GILBERT LN,104300,130000,0.8023,Nan,Nan,0
190820,2019,New Haven,16 HARBOUR CLOSE,103880,157000,0.6617,Condo,Condo,1
190106,2019,Pomfret,138 LONGMEADOW DR,74800,70000,1.0686,Nan,Nan,1
190386,2019,New Canaan,102 MAIN ST,1050420,1100000,0.9549,Nan,Nan,1
190702,2019,Shelton,22 RIVENDELL DR,186970,308000,0.607,Condo,Condo,1
190217,2019,Wallingford,14 HICKORY CT,195400,295000,0.6624,Condo,Condo,1
190010,2019,Sherman,62 SKYLINE DR,8800,13500,0.6519,Nan,Nan,0
190020,2019,Middletown,201 COLLEGE ST #05,80120,127500,0.6284,Condo,Condo,0
1900492,2019,West Haven,19 ATWOOD ST,155960,302500,0.5156,Nan,Nan,1
1900605,2019,West Haven,83 WEST WALK,93450,135000,0.6922,Condo,Condo,1
1900104,2019,West Haven,47 CHAUNCEY ST,31780,55000,0.5778,Nan,Nan,1
190017,2019,Windsor,18 HIGH PATH RD,58240,85000,0.6852,Condo,Condo,0
190446,2019,West Hartford,59 DANFORTH LANE,114590,185000,0.6194,Condo,Condo,1
190122,2019,Woodstock,LOT #8 HEBERT LANE,48300,56000,0.8625,Nan,Nan,1
190027,2019,Woodstock,MEEHAN RD,3000,150000,0.02,Nan,Nan,0
190316,2019,West Hartford,11 SHERMAN STREET,435680,650000,0.6703,Nan,Nan,1
1900317,2019,West Haven,330 SAVIN AVE #60,74970,91500,0.8193,Condo,Condo,1
190456,2019,Windsor,312 KINGS LANDING,139650,226000,0.6179,Condo,Condo,1
190600027,2019,Woodbury,9 BOXWOOD CT,85420,115000,0.7428,Condo,Condo,1
190219,2019,Westport,1000 POST ROAD EAST,1632500,6843950,0.2385,Nan,Nan,1
190294,2019,Windsor,21 HASKINS RD,179970,268000,0.6715,Condo,Condo,1
190176,2019,Waterford,14 WESTCOTT RD,23890,150000,0.1593,Nan,Nan,1
191567,2019,Waterbury,150 MARK LANE #L-3,27240,60000,0.454,Condo,Condo,1
190198,2019,Windsor,281 KINGS LANDING,143920,220000,0.6542,Condo,Condo,1
190189,2019,Wilton,11 GLEN RIDGE,256410,393000,0.6524,Condo,Condo,1
190145,2019,Wilton,47 VILLAGE WALK,163940,230000,0.7128,Condo,Condo,1
1900147,2019,West Haven,142 WEST WALK,97160,180000,0.5398,Condo,Condo,1
190221,2019,Clinton,108A LONG HILL RD,62500,45000,1.3889,Nan,Nan,1
19000387,2019,Cheshire,10 SHIRE CT,439270,600000,0.7321,Single Family,Single Family,1
19153,2019,Burlington,51 PINE DRIVE,247610,265000,0.9344,Single Family,Single Family,1
19020,2019,Andover,228 LONG HILL RD,219800,295000,0.7451,Single Family,Single Family,1
190042,2019,East Windsor,31 PROSPECT HILL DR,81450,144900,0.5621,Single Family,Single Family,0
190364,2019,Avon,103 FOX DEN ROAD,276390,410000,0.6741,Single Family,Single Family,1
19166,2019,East Hartford,235 EAST RIVER DR #1306,133570,165000,0.8095,Condo,Condo,0
190182,2019,Danbury,26 WATERVIEW DR,334500,675000,0.4956,Single Family,Single Family,0
191034,2019,Bristol,52 COLONY ST,119000,252000,0.4722,Three Family,Three Family,1
190134,2019,Bethel,4 HOLLYBERRY DRIVE,222880,390000,0.5715,Single Family,Single Family,1
19000103,2019,Granby,16 DANIELLE RD,166180,267500,0.6212,Single Family,Single Family,1
1900080,2019,Cheshire,31 BRAEMAR DR,210490,321500,0.6547,Single Family,Single Family,0
1900051,2019,East Haven,1 MANSFIELD GROVE RD #106,178060,352500,0.5051,Condo,Condo,0
190016,2019,Cromwell,14 SPRINGDALE RD,89250,149900,0.5954,Condo,Condo,0
190369,2019,Danbury,16 OLIVE ST,158700,260000,0.6104,Single Family,Single Family,1
19041,2019,Franklin,27 SOUTHGATE CR,204040,289000,0.706,Single Family,Single Family,1
190404,2019,Glastonbury,1098 MAIN ST,122300,210000,0.5824,Nan,Nan,1
190116,2019,Madison,48 DEVONSHIRE LN,306500,400000,0.7663,Single Family,Single Family,1
190118,2019,Harwinton,51 HIGH VIEW DR,105810,140000,0.7558,Single Family,Single Family,1
190336,2019,Enfield,27 LAKE DR,166700,268000,0.622,Single Family,Single Family,1
190424,2019,Groton,30 HEMLOCK RD,171220,289900,0.5906,Single Family,Single Family,1
190087,2019,East Lyme,38 HOPE ST  #106,202020,345000,0.5856,Condo,Condo,0
191279,2019,Fairfield,4265 CONGRESS STREET,687470,1150000,0.5978,Single Family,Single Family,1
190106,2019,Bridgeport,3004C MADISON AVE,49740,92000,0.5407,Condo,Condo,0
190047,2019,Litchfield,SEELYE RD,3090,15000,0.206,Nan,Nan,1
190075,2019,Berlin,461 TOLL GATE ROAD,151400,235000,0.6443,Single Family,Single Family,0
190094,2019,Glastonbury,49 WOODHAVEN RD,183600,218259,0.8412,Single Family,Single Family,0
19918,2019,Hartford,48 ROOSEVELT ST,54495,230000,0.2369,Two Family,Two Family,1
19000092,2019,Brookfield,4 COMSTOCK TR,121020,185000,0.6542,Condo,Condo,0
19130,2019,Durham,100R MEETING HOUSE,154980,245000,0.6326,Single Family,Single Family,1
19519,2019,East Hartford,89 ANDOVER RD,150960,115000,1.3127,Single Family,Single Family,1
190174,2019,Ledyard,38-4 FAIRWAY DR,91000,135000,0.6741,Condo,Condo,1
190187,2019,Danbury,136 PEMBROKE RD #4-28,118100,200000,0.5905,Condo,Condo,0
190999,2019,Fairfield,2107 NORTH BENSON ROAD,490350,780000,0.6287,Single Family,Single Family,1
190928,2019,Fairfield,109 BROOKLAWN TERRACE,250110,399999,0.6253,Single Family,Single Family,1
190844,2019,Danbury,51 JAMES ST,160500,185000,0.8676,Two Family,Two Family,1
190374,2019,Madison,21 TOFFEE LN,287700,565000,0.5092,Single Family,Single Family,1
190105,2019,Glastonbury,14 MEADOWRUE DR,95800,162000,0.5914,Condo,Condo,0
19293,2019,Farmington,58 YORKSHIRE COURT,35000,582772,0.0601,Condo,Condo,1
190057,2019,Berlin,207 LOWER LANE,128200,220000,0.5827,Single Family,Single Family,0
190342,2019,Fairfield,130 BROOKVIEW AVENUE,372470,587846,0.6336,Single Family,Single Family,1
192393,2019,Bridgeport,923 GILMAN ST,402430,575000,0.6999,Single Family,Single Family,1
190245,2019,Bethel,68 HOYTS HILL,181720,275000,0.6608,Two Family,Two Family,1
190173,2019,Bridgeport,2091 FAIRFIELD AVE & 134 ALBIO,410230,545000,0.7527,Nan,Nan,0
190072,2019,Bridgeport,2445 PARK AVE UNIT 14,97890,257000,0.3809,Condo,Condo,0
19043,2019,Deep River,250 WARSAW ST,130620,165000,0.7916,Single Family,Single Family,1
190237,2019,Ellington,135 JOBS HILL RD,215490,329900,0.6532,Single Family,Single Family,1
190040,2019,Clinton,153 SHORE RD #2,409900,527500,0.7771,Single Family,Single Family,0
190214,2019,Avon,10 GATEWOOD,267390,438000,0.6105,Condo,Condo,1
190042,2019,Bethany,12 TAWNEY RD,253980,357000,0.7114,Single Family,Single Family,1
190352,2019,East Lyme,97 W MAIN ST  #83,130060,193000,0.6739,Condo,Condo,1
190436,2019,Groton,45 DANIEL BROWN RD,139230,264500,0.5264,Single Family,Single Family,1
190846,2019,Bristol,254 STEVENS STREET,189910,260000,0.7304,Single Family,Single Family,1
19219,2019,Colchester,527 OLD HARTFORD RD,160200,253000,0.6332,Single Family,Single Family,1
190748,2019,Bridgeport,122 INDIAN FIELD RD,110090,227000,0.485,Single Family,Single Family,1
192569,2019,Bridgeport,1185 WOOD AVE,108800,175000,0.6217,Single Family,Single Family,1
190669,2019,Greenwich,92 HAVEMEYER LANE,387380,607620,0.6375,Single Family,Single Family,1
190286,2019,East Lyme,23 TANGLEWOOD DR,289660,400000,0.7242,Single Family,Single Family,1
190211,2019,Cromwell,3 SENATOR DR,311500,435000,0.7161,Single Family,Single Family,1
19419,2019,Hartford,1802 BROAD ST,425320,650000,0.6543,Nan,Nan,1
190698,2019,Hamden,305 BROOKSVALE AVE,148400,364000,0.4077,Single Family,Single Family,1
190499,2019,Enfield,GEORGETOWN DR BDU11,53940,95000,0.5678,Condo,Condo,1
19000007,2019,Brookfield,232 WHISCONIER RD,186760,240000,0.7782,Single Family,Single Family,0
1900085,2019,Cheshire,1338 AVON BLVD,168180,250000,0.6727,Single Family,Single Family,0
190303,2019,Danbury,31-33 TOWN HILL AV #6,75600,92600,0.8164,Condo,Condo,0
19439,2019,Farmington,435 COLT HIGHWAY,130090,210000,0.6195,Single Family,Single Family,1
19092,2019,Colchester,8 CHESTNUT HOLLOW,164400,255000,0.6447,Condo,Condo,1
190572,2019,Bristol,71 SONSTROM ROAD,103950,140000,0.7425,Single Family,Single Family,1
190193,2019,Berlin,33 LANGDON COURT UNIT H4,116400,185000,0.6292,Condo,Condo,1
190038,2019,East Lyme,NIANTIC DOCKO # 3219,20930,30000,0.6977,Condo,Condo,0
190168,2019,Avon,4 CENTERBROOK COURT,197480,268000,0.7369,Condo,Condo,1
19123,2019,Colchester,60 DEER RUN DR,233500,330000,0.7076,Single Family,Single Family,1
190686,2019,Bristol,950 STAFFORD AVENUE,86500,185000,0.4676,Single Family,Single Family,1
190610,2019,Enfield,5 PINECREST RD,178690,275000,0.6498,Single Family,Single Family,1
190158,2019,Canton,5 BLUEBERRY LANE,364070,500000,0.7281,Single Family,Single Family,1
190551,2019,Danbury,1 BEAVER BROOK RD #20,74200,135000,0.5496,Condo,Condo,1
190996,2019,Bridgeport,40 ERIKA CIRCLE,163180,312000,0.523,Single Family,Single Family,1
