Serial_Number,List_Year,Town,Address,Assessed_Value,Sale_Amount,Sales_Ratio,Property_Type,Residential_Type,Years_until_sold
180054,2018,Hebron,255 MILLSTREAM RD,75980,75000,1.013,Nan,Nan,1
180446,2018,Branford,167 PHEASANT LA,117300,190000,0.6173,Condo,Condo,1
180312,2018,Bridgeport,75 FAIRVIEW AVE,161840,235000,0.6886,Nan,Nan,0
180814,2018,Bristol,71 HORIZON DR,1848490,2350000,0.786591489,Nan,Nan,1
180853,2018,Bristol,220 EAST MAIN ST,172550,194000,0.8894,Nan,Nan,1
180874,2018,Bridgeport,38 ONDEK ST,27080,26000,1.0415,Nan,Nan,1
18000052,2018,Brookfield,331 FEDERAL RD,339570,531250,0.6391,Nan,Nan,0
180032,2018,Bethel,75 COPPER SQUARE DRIVE,289660,457900,0.6325,Condo,Condo,0
180206,2018,Ansonia,16 HUGHES CR,118100,209000,0.565,Condo,Condo,1
18000085,2018,Brookfield,2 FEDERAL RD,748040,1530711,0.4886,Nan,Nan,1
180453,2018,Branford,4C EDGEWATER,167000,260000,0.642307692,Condo,Condo,1
180424,2018,Branford,13 LAKEVIEW DR,141600,199500,0.7097,Condo,Condo,1
180218,2018,Ansonia,30 WINESAP CT,85300,148900,0.5728,Condo,Condo,1
180318,2018,Bristol,80 WOLCOTT ST,112910,115000,0.9818,Nan,Nan,1
180350,2018,Bridgeport,709 HALLETT ST,302160,1000000,0.3021,Nan,Nan,0
180221,2018,Ansonia,240 MAIN ST,157200,280000,0.5614,Nan,Nan,1
181436,2018,Milford,114 CASCADE BLVD,406060,965000,0.4207,Nan,Nan,1
180827,2018,Danbury,23-27 ROSE ST,496540,750000,0.662,Nan,Nan,1
180128,2018,Guilford,27 BOSTON ST,381750,482700,0.7908,Nan,Nan,1
18774,2018,Hartford,101 HAMILTON ST,145530,375000,0.388,Nan,Nan,1
18963,2018,Hartford,600 LEIBERT RD,34300,230000,0.1491,Nan,Nan,1
18081,2018,Columbia,ROUTE 6,69100,125000,0.5528,Nan,Nan,1
18769,2018,Hartford,334 FARMINGTON AVE,520800,1206000,0.4318,Nan,Nan,1
180064,2018,Newington,15 BRINLEY WAY,129520,170000,0.7618,Condo,Condo,0
18003,2018,Lisbon,114 RIVER RD,617320,1456000,0.4239,Nan,Nan,0
180298,2018,Meriden,407 BLACKSTONE VILLAGE,36610,72500,0.5049,Condo,Condo,1
18027,2018,Farmington,7 MALLARD DR,109430,200000,0.5471,Condo,Condo,0
