Serial_Number,List_Year,Town,Address,Assessed_Value,Sale_Amount,Sales_Ratio,Property_Type,Residential_Type,Years_until_sold
1500560,2015,Stamford,910 HOPE STREET 5B,117760,230000,0.512,Condo,Condo,1
15590,2015,Milford,405 MARINERS WALK,109350,120000,0.91125,Nan,Nan,1
150489,2015,Bristol,BARLOW ST LOT 8-4,72800,62500,1.1648,Nan,Nan,1
150859,2015,Bristol,269 RIVERSIDE AVE,86660,165000,0.525212121,Nan,Nan,1
150047,2015,Essex,GREAT MEADOW RD,5200,10000,0.52,Nan,Nan,1
15549,2015,Hartford,981 PARK ST,356720,520000,0.686,Nan,Nan,1
150048,2015,Avon,172 WEST MAIN STREET,1098070,1100000,0.998245455,Nan,Nan,0
150150,2015,East Haddam,401 FOX HOPYARD RD,65100,100000,0.651,Nan,Nan,1
150073,2015,Bethel,RESERVOIR STREET,62710,50000,1.2542,Nan,Nan,0
150307,2015,Enfield,14 CARRIAGE HOUSE,155030,158000,0.981202532,Condo,Condo,1
150794,2015,New Haven,1175 STATE ST,2030000,5500000,0.369090909,Nan,Nan,1
150121,2015,Litchfield,MAPLE ST,226850,280000,0.810178571,Nan,Nan,1
150199,2015,Enfield,L SMYTH FARM CORNERS,33440,28000,1.194285714,Nan,Nan,1
150075,2015,New Fairfield,10 PINE ISLAND,11800,11000,1.072727273,Nan,Nan,1
150217,2015,Meriden,212 SPRINGHILL,18690,30000,0.623,Condo,Condo,0
150414,2015,Cheshire,BROAD SWAMP RD,1090,8800,0.123863636,Nan,Nan,1
150194,2015,Bristol,42 WOODSIDE WAY,204190,305000,0.66947541,Nan,Nan,0
150172,2015,Middletown,570 MAIN ST,177710,175000,1.015485714,Nan,Nan,1
15527,2015,Milford,22 JACKSON DR,141890,186000,0.762849462,Condo,Condo,1
150297,2015,Cheshire,CRESTWOOD DR,142930,257000,0.55614786,Nan,Nan,1
15070,2015,Milford,0 CLARK HILL RD,84390,150000,0.5626,Nan,Nan,0
