Serial_Number,List_Year,Town,Address,Assessed_Value,Sale_Amount,Sales_Ratio,Property_Type,Residential_Type,Years_until_sold
170072,2017,Bloomfield,2 SHIBAH WAY,256270,290000,0.8836,Condo,Condo,1
170045,2017,Bethany,136 AMITY RD,186610,380000,0.491,Nan,Nan,1
17045,2017,Andover,31 SKINNER HILL,50400,69000,0.7304,Nan,Nan,1
170032,2017,Avon,87 FAIRWAY RIDGE,145620,200000,0.7281,Nan,Nan,0
170153,2017,Avon,3 EAGLES GLEN,359160,455000,0.7893,Condo,Condo,1
170308,2017,Manchester,147 LOVE LANE,599300,1200000,0.4994,Nan,Nan,1
1700082,2017,Brookfield,6 DERBY CT,122370,172000,0.7114,Condo,Condo,0
170426,2017,Hamden,740 BROOKSVALE RD,14700,25000,0.588,Nan,Nan,1
170044,2017,Ellington,14 PINNEY ST #3,58550,72000,0.813194444,Condo,Condo,0
17199,2017,Monroe,755 MAIN ST #10H,350400,495000,0.7078,Nan,Nan,1
1700351,2017,New Milford,103 SULLIVAN FARM,215530,335000,0.6433,Condo,Condo,1
170128,2017,Litchfield,31 TAPPING REEVE,110140,152000,0.7246,Condo,Condo,1
170094,2017,Manchester,166 COLONIAL ROAD,579300,1009496,0.573850714,Nan,Nan,0
170631,2017,New Haven,180 EDWARDS ST,366660,470000,0.7801,Nan,Nan,1
170172,2017,New Canaan,191 ELM ST,1205610,1300000,0.9273,Nan,Nan,1
17425,2017,Hartford,76 WEBSTER ST,1225700,1900000,0.6451,Nan,Nan,1
170762,2017,Milford,1 MERWIN AVE #C2,304560,427000,0.7132,Condo,Condo,1
170102,2017,Clinton,6-8 CANTERBURY LN,340200,500000,0.6804,Nan,Nan,1
17428,2017,Hartford,318 FRANKLIN AV,341040,400000,0.8526,Nan,Nan,1
1700463,2017,East Haven,55 THOMPSON ST #9E,76960,108500,0.7093,Condo,Condo,1
17153,2017,Monroe,58 HIGHLAND DR,153200,204600,0.7487,Condo,Condo,1
170959,2017,Meriden,12 ABBEY PARK,83580,136000,0.6145,Condo,Condo,1
170088,2017,New Haven,15 DONNA DRIVE B-1,24570,26000,0.945,Condo,Condo,0
170199,2017,Cheshire,43 SUMMER HILL CT,134760,200000,0.6738,Nan,Nan,1
170517,2017,Enfield,437 MEADOWS,118710,185000,0.6416,Condo,Condo,1
171007,2017,Fairfield,130 RODGERS ROAD,184590,270000,0.6836,Condo,Condo,1
170735,2017,New Haven,122 FRONT ST,79100,155000,0.5103,Condo,Condo,1
170593,2017,Fairfield,74 LINWOOD AVENUE,1076250,1550000,0.6943,Nan,Nan,1
170422,2017,New London,140 STATE ST,296170,450000,0.6581,Nan,Nan,1
170934,2017,Milford,32 1/2 VILLAGE RD,63500,90000,0.7055,Nan,Nan,1
171002,2017,Killingly,460 HARTFORD PIKE,143360,275000,0.5213,Nan,Nan,0
170669,2017,Enfield,46 CANDLEWOOD,94270,158000,0.5966,Condo,Condo,1
17468,2017,Hartford,784 CAPITOL AV,286370,475000,0.6028,Nan,Nan,1
17238,2017,Hartford,364 WOODLAND ST,126140,160000,0.7883,Nan,Nan,1
170059,2017,Canton,7 RIVERBEND LANE,184450,315000,0.585555556,Condo,Condo,1
170055,2017,Clinton,79 COW HILL RD #5,83000,65000,1.276923077,Condo,Condo,0
1700423,2017,New Milford,3 SUNNY VALLEY THSE,91000,140000,0.65,Condo,Condo,1
170722,2017,New Haven,133 HAMILTON ST,1212540,1400000,0.8661,Nan,Nan,1
1700314,2017,New Milford,25 SULLIVAN FARM,158060,250000,0.6322,Condo,Condo,1
170685,2017,Meriden,116 HORTON AVE,124670,187500,0.6649,Condo,Condo,1
170437,2017,New Haven,275 ORANGE ST,436030,800000,0.545,Nan,Nan,1
170402,2017,New London,83 MANSFIELD RD 209,30800,48000,0.6416,Condo,Condo,1
170026,2017,Lyme,0 JOSHUATOWN RD,195000,150000,1.3,Nan,Nan,1
170601,2017,Milford,267 MELBA ST #A21,94810,147000,0.6449,Condo,Condo,1
170915,2017,Killingly,38 CARDINAL DR,22330,28000,0.7975,Nan,Nan,1
170647,2017,Enfield,2 CRANBERRY HOLLOW,73000,114900,0.6353,Condo,Condo,1
