Serial_Number,List_Year,Town,Address,Assessed_Value,Sale_Amount,Sales_Ratio,Property_Type,Residential_Type,Years_until_sold
2020348,2020,Ansonia,230 WAKELEE AVE,150500,325000,0.463,Commercial,Nan,1
20002,2020,Ashford,390 TURNPIKE RD,253000,430000,0.5883,Residential,Single Family,0
200212,2020,Avon,5 CHESTNUT DRIVE,130400,179900,0.7248,Residential,Condo,1
200243,2020,Avon,111 NORTHINGTON DRIVE,619290,890000,0.6958,Residential,Single Family,1
200377,2020,Avon,70 FAR HILLS DRIVE,862330,1447500,0.5957,Residential,Single Family,1
200109,2020,Avon,57 FAR HILLS DRIVE,847520,1250000,0.678,Residential,Single Family,0
2020180,2020,Berlin,1539 FARMINGTON AVE,234200,130000,1.8015,Residential,Two Family,1
2020313,2020,Berlin,216 WATCH HILL RD,412000,677500,0.6081,Residential,Single Family,1
200097,2020,Bethany,23 AMITY RD,511000,795000,0.6427,Commercial,Nan,1
20139,2020,Bethel,16 DEEPWOOD DRIVE,171360,335000,0.5115,Residential,Single Family,0
200086,2020,Bethlehem,39 WOODLAND RD,168900,352000,0.4798,Residential,Single Family,1
2000381,2020,Bloomfield,9 SADDLE RIDGE,163730,250000,0.6549,Residential,Condo,1
200258,2020,Branford,34 SUNRISE COVE CAMP,530500,700000,0.7578,Residential,Single Family,1
200804,2020,Branford,119 MONTOWESE ST,455100,650000,0.7001,Commercial,Nan,1
201295,2020,Bristol,609 CAMP ST,144340,249900,0.5775,Residential,Single Family,1
200032,2020,Bristol,9 LESLIE COURT,94920,155000,0.6123,Residential,Single Family,0
200354,2020,Bristol,391 TIFFANY LA,173740,299000,0.581,Residential,Single Family,0
200527,2020,Bristol,25 WARD ST,85680,183000,0.4681,Residential,Two Family,1
201212,2020,Bristol,8 JENNINGS TERR,88060,91000,0.9676,Residential,Single Family,1
20000050,2020,Brookfield,4 CHELSEA CT,105110,160000,0.6569375,Residential,Condo,0
20000179,2020,Brookfield,72 HOMESTEAD LN,94770,170000,0.5574,Residential,Condo,1
200042,2020,Canaan,93 MAIN ST,355800,599000,0.5939,Residential,Two Family,1
200117,2020,Canton,52 COUNTRY LANE,160850,280000,0.5744,Residential,Single Family,1
2000230,2020,Cheshire,50 ABBEY CT,210940,365000,0.5779,Residential,Single Family,1
2000330,2020,Cheshire,844 HIGHLAND AVE,144220,204000,0.7069,Residential,Single Family,1
200078,2020,Chester,6 SUNSET AVE,250100,418800,0.5971,Residential,Single Family,1
200268,2020,Colchester,347 CABIN RD,104000,350000,0.2971,Vacant Land,Nan,1
200035,2020,Colchester,160 SHADBUSH DR,223900,392000,0.5711,Residential,Single Family,0
200024,2020,Columbia,WEBSTER LANE,60300,75000,0.804,Vacant Land,Nan,0
200074,2020,Cornwall,131 KENT RD,246100,385000,0.6392,Commercial,Nan,1
200101,2020,Coventry,74 LAKEVIEW DR,142800,245000,0.5828,Residential,Single Family,1
200282,2020,Coventry,1467 SOUTH ST,359800,480000,0.7495,Commercial,Nan,1
200039,2020,Coventry,2075 MAIN ST,43700,25000,1.748,Vacant Land,Nan,0
201328,2020,Cromwell,6 BELHAVEN,410670,740000,0.5549,Residential,Condo,1
200077,2020,Cromwell,60 NORTH RD,174650,259000,0.6743,Vacant Land,Nan,0
200195,2020,Cromwell,34 SHUNPIKE ROAD,3360000,5214750,0.6443,Commercial,Nan,1
200742,2020,Danbury,17 OHEHYAHTAH PL,339100,550000,0.6165,Residential,Single Family,1
200886,2020,Danbury,86 MERRIMAC ST B,189800,240000,0.7908,Residential,Condo,1
200938,2020,Danbury,15-17 BOUGHTON ST #1-5,118900,230000,0.5169,Residential,Condo,1
201018,2020,Danbury,55 FOREST AV,136900,150000,0.9126,Residential,Single Family,1
201186,2020,Danbury,28 MAIN ST,695500,3200000,0.21734375,Commercial,Nan,1
201443,2020,Danbury,4 COOPER RD,158700,325000,0.4883,Residential,Single Family,1
201580,2020,Danbury,25 CROWN ST,192300,525000,0.366285714,Residential,Two Family,1
200408,2020,Danbury,15 SCUPPO RD 1503,130800,260000,0.503,Residential,Condo,0
20129,2020,Derby,196 ELIZABETH ST,351260,873000,0.4023,Commercial,Nan,1
20013,2020,Eastford,GENERAL LYON RD,2200,20000,0.11,Vacant Land,Nan,0
200215,2020,East Haddam,SHANAGHAN RD,51690,65000,0.7952,Vacant Land,Nan,1
200242,2020,East Haven,130 COE AVE #51,28240,73000,0.386849315,Residential,Condo,1
200375,2020,East Haven,55 THOMPSON ST #5A,76960,140000,0.5497,Residential,Condo,1
200194,2020,East Lyme,5 ROCCO DR,170660,220000,0.7757,Vacant Land,Nan,1
200236,2020,East Lyme,8 N EDGEWOOD RD,238140,421000,0.5656,Residential,Single Family,1
200320,2020,East Lyme,9 FREEDOM WAY,776230,1525000,0.509,Commercial,Nan,1
200499,2020,East Lyme,27 SEA CREST AVE,233660,517000,0.4519,Residential,Single Family,1
200510,2020,East Lyme,3 CARLISE LN,212100,390500,0.5431,Residential,Condo,1
200109,2020,Easton,50 RIVERSIDE LANE,165400,300000,0.5513,Vacant Land,Nan,1
200305,2020,Enfield,15 SALERNO DR,233660,410000,0.5699,Residential,Single Family,1
200537,2020,Enfield,104 BREWSTER RD,117380,245000,0.4791,Residential,Single Family,1
200652,2020,Enfield,12 KELLY DR,203470,360000,0.5651,Residential,Single Family,1
200700,2020,Enfield,8 SHANNON DR,161590,310000,0.5212,Residential,Single Family,1
200226,2020,Enfield,106 RAFFIA RD,145570,240000,0.6065,Residential,Single Family,0
200125,2020,Essex,35 DEER LA,220500,425000,0.5188,Residential,Single Family,1
200140,2020,Essex,14 ESSEX GLEN DR #12,335800,520000,0.6457,Residential,Condo,1
200055,2020,Essex,HILLSIDE DR,5600,5000,1.12,Vacant Land,Nan,0
20054,2020,Farmington,8193 ELY RD,167190,225000,0.743,Vacant Land,Nan,0
200151,2020,Farmington,15 MALS WAY,356410,550000,0.648,Residential,Single Family,0
200539,2020,Farmington,130 BIRDSEYE RD,1213620,1125000,1.0787,Commercial,Nan,1
20064,2020,Franklin,888 ROUTE 32,186770,209000,0.8936,Commercial,Nan,1
200827,2020,Glastonbury,38 MONTAUK WAY,332000,520000,0.6384,Residential,Condo,1
20000123,2020,Granby,18 MILL POND DR,87290,115000,0.759,Vacant Land,Nan,1
200579,2020,Greenwich,2195000,1061900,2195000,0.4837,Vacant Land,Nan,1
200645,2020,Greenwich,123 VALLEY DRIVE,2661200,3000000,0.887,Residential,Single Family,1
